Comments,n_stars,len_cmt,Pin,Performance,Camera,Màn hình,Ngoại hình,Service,Others,SBat,SPer,SScr,SCam,SDes,SSer,SOth,Label
E mới mua iphone 11. Và trong máy chỉ có 1 dây sạc chứ ko có củ sach kèm theo. Vậy cho em hỏi dây sạc đi kèm iphone 11 hỗ trợ sạc bao nhiêu W ạ. Để e mua củ xạc tương ứng. Rất mong được phản hồi. Cám ơn!,5,203,0,0,0,0,0,1,1,,,,,,-1,0,
Mới mua cách đây gần một tháng. Mọi thứ đều rất tốt nhưng pin em xài mới đây đã bị chai 1 phần trăm rồi :(((,5,108,1,0,0,0,0,0,0,-1,,,,,,,
Máy em mua ngày 12/10 đến nay ngày 3/11 chưa đầy 1 tháng mà pin đã tụt từ 100 xuống còn 99% thì có ổn không ạ,4,109,1,0,0,0,0,0,0,-1,,,,,,,
Mình mới xài được 7 tháng xuống 7% pin. Chả hiểu máy mới kiểu gì nữa. Dùng cơ bản lướt web cơ bản game ko chơi,1,110,1,0,0,0,0,0,0,-1,,,,,,,
"Đã mua, rất mượt, pin rất trâu, học online liên tục cả buổi chiều hết ~35%, nhưng mỗi tội là dùng rất nhanh tốn dung lượng, tải có mấy app mà hết tổng 18,19gb rồi, trong khi con ip6+ của mình 16gb, tải rất nhiều nhưng vẫn trống 4-5gb lận",5,237,1,1,0,0,0,0,1,1,1,,,,,-1,
Máy rung khá êm nên nhiều lúc có cuộc gọi không biết! Vì lí đo công việc nên máy chỉ để rung k để chuông nhiều khi lỡ cuộc gọi,3,126,0,0,0,0,0,0,1,,,,,,,-1,
"Về mới thấy màn hình thì hơi vàng tí, chụp hình thì camera bị nhoè nhoè làm sao đó,",2,83,0,0,1,1,0,0,0,,,-1,-1,,,,
"Vừa mua đôi với bố khá ok đẹp ,chụp hình ở mức ổn thôi , chơi game ko nên chơi để cấu hình quá cao , mặt lưng đẹp nhưng điểm lạ tui mua 2 cái đều vàng mà của tui màu kiểu xanh - hồng còn của bố tôi màu vàng lạ ghê , mà camera to quá chỉ sợ xước camera thui",5,256,0,1,0,1,1,1,0,,0,,0,0,,,
"Mình mới mua đt được 3 ngày mọi thứu đều ổn, nhưng gọi video bên zalo và mess loa bị rè và vọng tiếng, cách khắc phục như nào ạ",4,127,0,0,0,0,0,0,1,,,,,,,-1,
Sử dụng mới 5 tháng chưa hết bảo hành bị tróc sơn khung viền lấy tay lau phát trôi luôn lớp nước sơn yêu cầu sửa chữa không sửa mà kêu gửi hãng thay luôn khung...... bỏ tiền ra vì tin tưởng chất lượng sản phẩm ....làm tôi tin tưởng bấy lâu nay,2,243,0,0,0,0,1,1,0,,,,,-1,-1,,
"em mới vừa mua hôm quá, máy xài rất ok nhưng sao lúc sạc pin thì máy lại nóng quá vậy ạ?",4,88,0,1,0,0,0,0,0,,-1,,,,,,
"Mới mua máy đc 2 tháng máy tụt 99%, dù dùng rất cẩn thận, theo kiểu này k dùng đc lâu bền. Tháng đầu sạc pin chỉ mất hơn 1 tiếng, nay sạc mất 2 tiếng rưỡi mới đầy, pin con 11 này nói trâu mà k hề trâu, chán thực sự. Có cách nào khắc phục k nhỉ ?",3,245,1,0,0,0,0,0,0,-1,,,,,,,
