Comments,n_stars,Label
Tạm ổn,3,
Nhân viên tư vấn thân thiệt và nhiệt tình,5,
sao pin con này bị sao vậy shop,5,
Mình mua iphone 15 pro max 256 màu tự nhiên mới mua được 3 tháng sạc mới 60 lần mà máy đã tụt pin còn 97%. Mình tính mang ra tgdd kiểm tra. K biết pin tụt nhah như vậy là máy lỗi hay sao ạ,4,
"Chẳng có gì để chê, Pin rất trâu và sạc rất nhanh.",5,
"Mới dùng 1thang thì còn 99% có sao k ạ Có csbh gì không ạ,",3,
mik mới mua dc 16 ngày lỗi không nhận sim cái shop đổi cho mình cái mới luôn đập hộp lần 2 nó đã ... shop xưa giờ mình vẫn thích làm ăn uy tín nhân viên nhiệt tình niềm nỡ chúc mừng shop năm mới bán được nhiều gấp đôi năm cũ,5,
Mình dùng 4 tháng thấy máy rất ok nhé . Pin vẫn 100%. Nv rất nhiệt tình .,5,
"Sạc pin nhanh, rất đã.",4,
Ok,5,
Máy dùng chán quá .vào camera bị nóng .nhanh hết pin thua xa 14prm,3,
mua xong xài 1 tuàn thấy cũng bình thường không gì mới.có Face ID thì nhanh và chính xác cực kỳ,5,
Tốt,5,
tốt,5,
Mua lần này không thấy được cộng điểm ở ứng dụng quà tặng vip,4,
Bên mh có thu mua lại k nhỉ. Mh sử dụng được 2 tháng r,4,
"Thân chào Anh/Chị.Mình thấy trên web công ty MWG có thông điệp Đặt KHÁCH HÀNG LÀM TRUNG TÂM TRONG MỌI HÀNH ĐỘNG VÀ SUY NGHĨ.Và có dòng chữ nhà bán lẻ hàng đầu Đông Nam Á. Vì vậy mình nghĩ tầm cỡ công ty phải là rất lớn.Nên chính sách công ty không thể nào chỉ để bảo vệ lợi ích công ty và đẩy thiệt hại về khách hàng.Đó là lí do mình tự tin để gửi mail này.Mình tên là Huỳnh Vĩnh Sang, số điện thoại 0343.750.262Ngày 12/01/2024, mình có mua 1 điện thoại Iphone 15 Pro Max màu Titan Tự Nhiên, dung lượng 256GB HÀNG ĐÃ QUA SỬ DỤNG.Sử dụng được vài ngày, mình nhìn thấy ở phần trong của Camera có một vệt giống như sợi lông trên da người.Mình mang máy đến cửa hàng, hỏi các bạn hướng giải quyết. Các bạn nói làm theo chính sách của công ty1. Gửi hãng bảo hành.2. Hoàn tiền mất 10%.Mình mang máy về và đăng thông tin lên mạng để bán, 3 người đến hỏi mua. Sau khi họ xem máy xong, mình chỉ vết lông đó họ đều từ chối mua.Sau đó mình có trao đổi với cửa hàng và cả tổng đài khiếu nại. Quan điểm chung mình nhận được là khi mua khách đã kiểm tra rồi, không phát hiện. Sau đó về nhà sử dụng thì bên cửa hàng không kiểm soát được, bên cửa hàng không biết có vết đó, nếu biết đã nói cho khách biết rồi.Hiện tại, mình đã gửi máy lại cửa hàng để các bạn gửi Topcare kiểm tra và xử lí. Mình có nói các bạn nếu phải thay Camera thì báo trước. Mình không đồng ý thay. Lấy máy về bán và GIẤU người mua về cái vệt đó.",2,
"Mình mới mua dc 4 ngày, sao để dt qua đêm , sáng dậy lúc nào cũng bị tụt 4 5 % pin",3,
