,Comments,n_stars,Label
0,Tạm ổn,3,
1,Nhân viên tư vấn thân thiệt và nhiệt tình,5,
2,sao pin con này bị sao vậy shop,5,
3,Mình mua iphone 15 pro max 256 màu tự nhiên mới mua được 3 tháng sạc mới 60 lần mà máy đã tụt pin còn 97%. Mình tính mang ra tgdd kiểm tra. K biết pin tụt nhah như vậy là máy lỗi hay sao ạ,4,
4,"Chẳng có gì để chê, Pin rất trâu và sạc rất nhanh.",5,
5,"Mới dùng 1thang thì còn 99% có sao k ạ Có csbh gì không ạ,",3,
6,mik mới mua dc 16 ngày lỗi không nhận sim cái shop đổi cho mình cái mới luôn đập hộp lần 2 nó đã ... shop xưa giờ mình vẫn thích làm ăn uy tín nhân viên nhiệt tình niềm nỡ chúc mừng shop năm mới bán được nhiều gấp đôi năm cũ,5,
7,Mình dùng 4 tháng thấy máy rất ok nhé . Pin vẫn 100%. Nv rất nhiệt tình .,5,
8,"Sạc pin nhanh, rất đã.",4,
9,Ok,5,
10,Máy dùng chán quá .vào camera bị nóng .nhanh hết pin thua xa 14prm,3,
11,mua xong xài 1 tuàn thấy cũng bình thường không gì mới.có Face ID thì nhanh và chính xác cực kỳ,5,
12,Tốt,5,
13,tốt,5,
14,Mua lần này không thấy được cộng điểm ở ứng dụng quà tặng vip,4,
15,Bên mh có thu mua lại k nhỉ. Mh sử dụng được 2 tháng r,4,
16,"Thân chào Anh/Chị.Mình thấy trên web công ty MWG có thông điệp Đặt KHÁCH HÀNG LÀM TRUNG TÂM TRONG MỌI HÀNH ĐỘNG VÀ SUY NGHĨ.Và có dòng chữ nhà bán lẻ hàng đầu Đông Nam Á. Vì vậy mình nghĩ tầm cỡ công ty phải là rất lớn.Nên chính sách công ty không thể nào chỉ để bảo vệ lợi ích công ty và đẩy thiệt hại về khách hàng.Đó là lí do mình tự tin để gửi mail này.Mình tên là Huỳnh Vĩnh Sang, số điện thoại 0343.750.262Ngày 12/01/2024, mình có mua 1 điện thoại Iphone 15 Pro Max màu Titan Tự Nhiên, dung lượng 256GB HÀNG ĐÃ QUA SỬ DỤNG.Sử dụng được vài ngày, mình nhìn thấy ở phần trong của Camera có một vệt giống như sợi lông trên da người.Mình mang máy đến cửa hàng, hỏi các bạn hướng giải quyết. Các bạn nói làm theo chính sách của công ty1. Gửi hãng bảo hành.2. Hoàn tiền mất 10%.Mình mang máy về và đăng thông tin lên mạng để bán, 3 người đến hỏi mua. Sau khi họ xem máy xong, mình chỉ vết lông đó họ đều từ chối mua.Sau đó mình có trao đổi với cửa hàng và cả tổng đài khiếu nại. Quan điểm chung mình nhận được là khi mua khách đã kiểm tra rồi, không phát hiện. Sau đó về nhà sử dụng thì bên cửa hàng không kiểm soát được, bên cửa hàng không biết có vết đó, nếu biết đã nói cho khách biết rồi.Hiện tại, mình đã gửi máy lại cửa hàng để các bạn gửi Topcare kiểm tra và xử lí. Mình có nói các bạn nếu phải thay Camera thì báo trước. Mình không đồng ý thay. Lấy máy về bán và GIẤU người mua về cái vệt đó.",2,
17,"Mình mới mua dc 4 ngày, sao để dt qua đêm , sáng dậy lúc nào cũng bị tụt 4 5 % pin",3,
18,"Iphone15 promax sài ok, sài 2 tháng rồi pin vẫn còn 100% chưa tụt pin luôn, pin trâu sài 2 ngày mới sạc pin, mọi người nếu ko gấp đừng sạc nhanh ko tốt cho pin chọn sạc chậm 10w hay 12w của ipad tuy sạc chậm thời gian mình test sài tấc vụ bình thường pin 2 ngày. Sài ok chưa thấy lỗi gì , sài tốt rất ổn, có tiền thưởng chắc mua thêm 1 cái cho người thân. dòng 15 ngày rất ổn so với 14 và 13. máy nhẹ , máy mát , sạc chậm ko nóng máy nhé mọi người. Của bền tại người , iphone siêu bền. mình còn đang sài iphone 7 plus chỉ thay pin chơi game online ko lát luôn nhé.",5,
19,"Quá tốt, nhân viên nhiệt tình, iPhone thì k cần bàn cãi về chất lượng",5,
20,"Xu cà na lần đầu tiên mua hàng ở điện máy xanh bị dính do sản phẩm bị lỗi pin tuột như vậy,chỉ mới xài có thang đầu thôi mà nó còn như vậy lâu về dài ko biết ra sao,ban đầu mang máy xuống kiểm tra thì thái độ nhân viên rất khó chịu còn ko muốn kiểm tra cơ,cuối cùng cũng phải gửi lên hãng Apple để kiểm tra ,thúi hẻo điện thoại mới hết 1tháng lô qua 4ngay mà lỗi là do sản phẩm chứ không phải là người dùng, mà muốn đổi qua sản phẩm khác phải mất phí 30% tự dưng mất thật lãng nhách,do đọc bình luận những người đã sử dụng thì cũng ngờ ngợ lo sợ sản phẩm bị lỗi rồi,bạn đầu dự tính mua 14 pro max màu tím rồi, mà ko biết sao xui khiến hốt con này về báo thêm bảo hành thì phải mất 10 đến 15 ngày, mua hàng với giá trị sản phẩm cao nhưng nhưng đưa cho khách hàng điện thoại mượn để dùng tạm điện thoại Samsung A04s rất chậm,tôi không sử dụng quen,rất khó sử dụng, đề nghị điện máy xanh tết Gần đến nơi nhanh chóng hoàn thành trả lại càng sớm càng tốt sản phẩm cho tôi",2,
21,ad cho em hỏi em mới mua con 15 bên mình mà em cầm đt lắc thì kiểu như cam sau nó bị hơi rung cam sau thì có bị gì không vậy ad,4,
22,Định mua 15 thường nhưng sốp làm cho quả 15 pro max,5,
23,"Mình mua đt đc hơn 20 ngày rồi , giờ mình muốn trả dt lại thì mình mất bao nhiêu % b nhỉ",4,
24,mình dùng ốp lưng mà sao lại tróc viền vậy nhỉ,5,
25,"Mới dùng được 3 ngày đã dính panic full với resetcounter, không biết có được đổi máy mới không nữa, theo mình biết đây là lỗi nghiêm trọng liên quan đến phần cứng mà càng ngày tần suất máy tự khởi động lại sẽ càng cao, xài rất là ức chế",2,
26,Sản phẩm tốt. Nhân viên tư vấn nhiệt tình,5,
27,"Mua chưa được 3 tháng , giờ sạt hk vô.Thất vọng thiệt",2,
28,Máy mới mua chưa được 1 tháng nhưng hay bị lỗi Panicfull và ResetCounter thì có được đổi lại máy khác k vậy,3,
29,Rất tốt,5,
30,Hôm qua mua ip 15prm titan xanh giá full phụ kiện là 34.990 mà sao giờ lên xem titanxanh mà giá có 34.490 vậy ad,3,
31,"Good, đã mua một cái titan xanh, hôm qua dứt thêm cái thứ 2 titan tự nhiên.Mình fan táo từ thời 3GS tới giờ",5,
32,"Vị trí siêu thị 198D10, KP6, Thới Hoà, BC, DB ĐTBH Iphone 15 Pro Max 256GB Blue Titanium Tình trạng Đã sử dụng hơn 2 tháng Thái độ nhân viên siêu thị 4.5/5 Thái độ chị quản lý siêu thị 4.5/5 Kiến thức hiểu biết về tư vấn sản phẩm 3/5Nhận xét chung Nhiệt tình hỗ trợ, thái độ văn minh, tác phong công nghiệp cao. Nụ cười công nghiệp tốt. Tuy nhiên0/ Khi máy khách đi bảo hành máy loại nào thì cung cấp máy đã qua sử dụng loại đó. Mua iPhone đừng nên đưa khách hàng điện thoại dùng tạm Samsung. Này 3 nhé, chưa thấu hiểu và đủ tinh tế để hiểu tâm lý khách hàng.1/Kiến thức tư vấn sản phẩm chưa chuyên sâu, cần trao dồi và cải thiện thêm.2/Trang web bảo hành bị lỗi quá nhiều. Thông tin cần rõ ràng, minh bạch.3/ Miếng dán Jincase đã được hoàn tiền 220,000 do bị lỗi tư chưa chính xác vì miếng dán cũ được bảo hành trọn đời. Nhân viên lúc bán máy đã tư vấn rất kỹ, rõ ràng, mạch lạc. Nhưng lúc dán lại thì nhận 1 thông tin khác.4/ Đã hỗ trợ hoàn tiền 35,000 phí chuyển đổi và cả phí làm lại eSIM.5/ Bạn hỗ trợ kỹ thuật thái độ ôn hoà, hỗ trợ khá tốt, khá nhanh 4.5.6/ Máy Samsung S22 Ultra cho mượn đã được reset lại, đảm bảo thông tin khách hàng.7/Hãng báo máy không có vấn đề. Thắc mắc Nhưng đã tự tìn hiểu, có có lẻ do xung đột cổng sạc type C.8/ Cần cải thiện lại trang web bảo hành cũng như kiến thức chuyên môn khi tư vấn sản phẩm.9/ Cần trung thực trong việc tư vấn bán hàng cũng như tất cả các quyền lợi tốt nhất cho khách hàng, đừng quá công nghiệp trong mọi việc. Cần linh hoạt nhận trách nhiệm, tìm ra nguyên nhân làm khách hàng không hài lòng về sản phẩm cũng như thái độ phục. Luôn giữ thái độ được phục vụ khách là là niềm vui và sự vinh hạnh của đội ngũ nhân viên thegioididong.10/ Tổng quát lại 3.5, khích lệ tinh thần 4. Vẫn còn thiếu sót nhiều trong khâu tư vấn từ lúc ban đầu mua điện thoại đến lúc đi bảo hành. Khách hàng mua hàng chẳng ai muốn điện thoại mình bị vấn đề, luôn muốn được trơn tru.",4,
33,sau 1 tháng sử dụng tạm ổn nhưng độ mượt không ổn 120hz,3,
34,"Máy mới mua 2 tháng đã hư cổng sạc Type C. Cài gửi đi bảo hành mất thời gian. Mất phí chuyển đổi từ eSIM sang SIM vật lý. Mong nhận được phí hoàn trả 35,000 từ các bạn.",1,
35,"Mua được 3 ngày. Lỗi đổi mới 1 lần. Cái mới đổi còn tệ hơn cái cũ. Liên hệ hỏi mà chưa thấy ad nào trả lời . Chắc mua này xong tạm biệt quá sáng giờ ko nghe được cuộc dt nào.đang nghe là im xong bấm tắt ko được, màn hình hiển thị lại là mình ko gọi được. 1 trải nghiệm rầu đời",2,
36,Sang chảnh đáng giá,5,
